phase,quote
6,"*""Think of that! The finest Guild navigators, men who can quest ahead through time to find the safest course for the fastest Heighliners, all of them seeking me . . .and unable to find me. How they tremble! They know I have their secret here!""*
~Paul in *Dune*"
6,*Life on Arrakis will perform no green ballet for you* - Paul in Messiah
2,"*""Bless the Maker and His water. Bless the coming and going of Him. May His passage cleanse the world. May He keep His world for His people""*

~ :fremen: prayer to Shai-Hulud"
2,"*PRE-SPICE MASS: the stage of fungusoid wild growth achieved when water is flooded into the excretions of LIttle Makers. At this stage, the spice of Arrakis forms a characteristic ""blow,"" wchanging the material from deep underground for the matter on the surface above it. This mass, after exposure to sun and air, becomes melange (See also Melange and Water of Life.)*
~ Dune Appendix III"
2,"*“My Planet, Arrakis, Is So Beautiful When The Sun Is Low. Rolling Over The Sands, You Can See Spice In The Air.”*
~ Chani in Dune Pt 1 (2021)"
2,"*""is there relationship between worm and spice?"" the Duke asked.
Kynes turned and Paul saw the pursed lips as the man spoke.
""They defend spice  *sands*. Each worm has a-territory. As to the spice... who knows?""*
~ Kynes lying between his teeth in *Dune*"
8,"*“You were not born to the spice as we were.” *
~ Chani to Paul"
8,"*Once more, Odrade found herself precipitated forward and down into an unknown. Her light tumbled with her, its beam rolling over and over. She saw mounds of dark reddish brown in front of her. Cinnamon filled her nostrils.*
~ Heretics of Dune"
8,"*“Arrakis could be an Eden if its rulers would look up from grubbing for spice.”*
~ Planetologist Pardot Liet-Kynes"
8,"*""melange (me-lange also ma,lanj) n-s, original uncertain (thought to derive from ancient Terran Franzh): a. mixture of spices; b. spice of Arrakis (Dune) with geriatric properties first noted by Yanshuph Ashkoko, royal chemist in reign of Shakkad the Wise; Arrakeen melange, found only in deepest desert sands of Arrakis, linked to prophetic visions of Paul Muad'Dib (Atreides), first Fremen Mahdi; also employed by Spacing Guild Navigators and the Bene Gesserit.""
―Dictionary Royal, fifth edition[src]* 
~Children of Dune"
1,":fremen: Scouts in the area have reported a ""great mother of a storm that would make Shai-Hulud proud!"" "
1,"*“A storm is coming; our storm.*
~*Dune,* Paul to his Fedaykin"
1,"*“We faced it and did not resist. The storm passed through us and around us. It's gone, but we remain.”*
― Dune
"
1,"*Jessica had the eerie feeling that they were standing still, that all motion was external. A vague tan flowing against the windows, a rumbling hiss reminded her of the powers around them.*
    *Winds to seven or eight hundred kilometers an hour, she thought. Adrenalin edginess gnawed at her. I must not fear...*
~ Jessica and Paul's thopter ride after the sacking of Arrakeen"
1,"*Twenty billion tons of dust could be carried suspended in the wind of just one of those storms. The sky often had a silvery look to it then. Fremen said: ""The desert is a surgeon cutting away the skin to expose what's underneath."" The planet and the people had layers. You could see them.* - The Stolen Journals
~ God Emperor of Dune"
1,*White sky in the South: Shai-Hulud's mouth! * ~ Dune: Messiah
1,"*Storms. She felt one approaching that no meteorologist could anticipate. Storms beget storms. Rage begets rage. Revenge begets revenge. Wars beget wars.*
-Chapterhouse: Dune"
1,"*The planet casts the final vote*
~ Darwi Odrade, Chapterhouse Dune"
